     -3.13	    -2.30	      2.50	      1.25	     -0.57
     -3.12	    -2.29	      2.48	      1.25	     -0.57
     -3.11	    -2.27	      2.47	      1.24	     -0.57
     -3.10	    -2.26	      2.46	      1.24	     -0.57
     -3.09	    -2.25	      2.45	      1.23	     -0.56
     -3.08	    -2.24	      2.44	      1.23	     -0.56
     -3.07	    -2.23	      2.43	      1.22	     -0.56
     -3.06	    -2.21	      2.42	      1.21	     -0.55
     -3.05	    -2.20	      2.41	      1.21	     -0.55
     -3.04	    -2.19	      2.40	      1.20	     -0.55
     -3.03	    -2.18	      2.38	      1.20	     -0.54
     -3.02	    -2.16	      2.37	      1.19	     -0.54
     -3.01	    -2.15	      2.36	      1.19	     -0.54
     -3.00	    -2.14	      2.35	      1.18	     -0.54
     -2.99	    -2.13	      2.34	      1.18	     -0.53
     -2.98	    -2.12	      2.33	      1.17	     -0.53
     -2.97	    -2.11	      2.32	      1.17	     -0.53
     -2.96	    -2.09	      2.31	      1.16	     -0.52
     -2.95	    -2.08	      2.30	      1.16	     -0.52
     -2.94	    -2.07	      2.29	      1.15	     -0.52
     -2.93	    -2.06	      2.28	      1.14	     -0.51
     -2.92	    -2.05	      2.27	      1.14	     -0.51
     -2.91	    -2.04	      2.26	      1.13	     -0.51
     -2.90	    -2.03	      2.25	      1.13	     -0.51
     -2.89	    -2.01	      2.24	      1.12	     -0.50
     -2.88	    -2.00	      2.23	      1.12	     -0.50
     -2.87	    -1.99	      2.22	      1.11	     -0.50
     -2.86	    -1.98	      2.21	      1.11	     -0.50
     -2.85	    -1.97	      2.20	      1.10	     -0.49
     -2.84	    -1.96	      2.19	      1.10	     -0.49
     -2.83	    -1.95	      2.18	      1.09	     -0.49
     -2.82	    -1.94	      2.17	      1.09	     -0.48
     -2.81	    -1.93	      2.16	      1.09	     -0.48
     -2.80	    -1.92	      2.15	      1.08	     -0.48
     -2.79	    -1.90	      2.14	      1.08	     -0.48
     -2.78	    -1.89	      2.13	      1.07	     -0.47
     -2.77	    -1.88	      2.12	      1.07	     -0.47
     -2.76	    -1.87	      2.11	      1.06	     -0.47
     -2.75	    -1.86	      2.10	      1.06	     -0.47
     -2.74	    -1.85	      2.09	      1.05	     -0.46
     -2.73	    -1.84	      2.09	      1.05	     -0.46
     -2.72	    -1.83	      2.08	      1.04	     -0.46
     -2.71	    -1.82	      2.07	      1.04	     -0.45
     -2.70	    -1.81	      2.06	      1.03	     -0.45
     -2.69	    -1.80	      2.05	      1.03	     -0.45
     -2.68	    -1.79	      2.04	      1.02	     -0.45
     -2.67	    -1.78	      2.03	      1.02	     -0.44
     -2.66	    -1.77	      2.02	      1.02	     -0.44
     -2.65	    -1.76	      2.01	      1.01	     -0.44
     -2.64	    -1.75	      2.01	      1.01	     -0.44
     -2.63	    -1.74	      2.00	      1.00	     -0.43
     -2.62	    -1.73	      1.99	      1.00	     -0.43
     -2.61	    -1.72	      1.98	      0.99	     -0.43
     -2.60	    -1.71	      1.97	      0.99	     -0.43
     -2.59	    -1.70	      1.96	      0.99	     -0.42
     -2.58	    -1.69	      1.95	      0.98	     -0.42
     -2.57	    -1.68	      1.95	      0.98	     -0.42
     -2.56	    -1.67	      1.94	      0.97	     -0.42
     -2.55	    -1.66	      1.93	      0.97	     -0.41
     -2.54	    -1.65	      1.92	      0.96	     -0.41
     -2.53	    -1.64	      1.91	      0.96	     -0.41
     -2.52	    -1.63	      1.90	      0.96	     -0.41
     -2.51	    -1.62	      1.90	      0.95	     -0.41
     -2.50	    -1.61	      1.89	      0.95	     -0.40
     -2.49	    -1.60	      1.88	      0.94	     -0.40
     -2.48	    -1.59	      1.87	      0.94	     -0.40
     -2.47	    -1.58	      1.86	      0.94	     -0.40
     -2.46	    -1.57	      1.86	      0.93	     -0.39
     -2.45	    -1.56	      1.85	      0.93	     -0.39
     -2.44	    -1.56	      1.84	      0.92	     -0.39
     -2.43	    -1.55	      1.83	      0.92	     -0.39
     -2.42	    -1.54	      1.83	      0.92	     -0.38
     -2.41	    -1.53	      1.82	      0.91	     -0.38
     -2.40	    -1.52	      1.81	      0.91	     -0.38
     -2.39	    -1.51	      1.80	      0.91	     -0.38
     -2.38	    -1.50	      1.80	      0.90	     -0.38
     -2.37	    -1.49	      1.79	      0.90	     -0.37
     -2.36	    -1.48	      1.78	      0.89	     -0.37
     -2.35	    -1.47	      1.77	      0.89	     -0.37
     -2.34	    -1.46	      1.77	      0.89	     -0.37
     -2.33	    -1.46	      1.76	      0.88	     -0.36
     -2.32	    -1.45	      1.75	      0.88	     -0.36
     -2.31	    -1.44	      1.74	      0.88	     -0.36
     -2.30	    -1.43	      1.74	      0.87	     -0.36
     -2.29	    -1.42	      1.73	      0.87	     -0.36
     -2.28	    -1.41	      1.72	      0.87	     -0.35
     -2.27	    -1.40	      1.72	      0.86	     -0.35
     -2.26	    -1.39	      1.71	      0.86	     -0.35
     -2.25	    -1.39	      1.70	      0.85	     -0.35
     -2.24	    -1.38	      1.70	      0.85	     -0.34
     -2.23	    -1.37	      1.69	      0.85	     -0.34
     -2.22	    -1.36	      1.68	      0.84	     -0.34
     -2.21	    -1.35	      1.68	      0.84	     -0.34
     -2.20	    -1.34	      1.67	      0.84	     -0.34
     -2.19	    -1.34	      1.66	      0.83	     -0.33
     -2.18	    -1.33	      1.66	      0.83	     -0.33
     -2.17	    -1.32	      1.65	      0.83	     -0.33
     -2.16	    -1.31	      1.64	      0.82	     -0.33
     -2.15	    -1.30	      1.64	      0.82	     -0.33
     -2.14	    -1.29	      1.63	      0.82	     -0.32
     -2.13	    -1.29	      1.62	      0.81	     -0.32
     -2.12	    -1.28	      1.62	      0.81	     -0.32
     -2.11	    -1.27	      1.61	      0.81	     -0.32
     -2.10	    -1.26	      1.60	      0.81	     -0.32
     -2.09	    -1.25	      1.60	      0.80	     -0.31
     -2.08	    -1.25	      1.59	      0.80	     -0.31
     -2.07	    -1.24	      1.59	      0.80	     -0.31
     -2.06	    -1.23	      1.58	      0.79	     -0.31
     -2.05	    -1.22	      1.57	      0.79	     -0.31
     -2.04	    -1.21	      1.57	      0.79	     -0.30
     -2.03	    -1.21	      1.56	      0.78	     -0.30
